activation,best_val_loss_mean,best_val_loss_std,closed_fraction_mean,closed_fraction_std,experiment,final_val_loss_mean,final_val_loss_std,final_val_perplexity_mean,final_val_perplexity_std,initial_beta,open_fraction_mean,open_fraction_std,trainable_beta_mean,trainable_beta_std,transition_fraction_mean,transition_fraction_std
dgelu,1.9953806940714518,0.0041620022336329365,,,tiny_gpt_TinyStories,1.9998299678166707,0.005670691188172052,7.387918752230971,0.041968132474327076,,,,,,,
gelu,1.9332317852973937,0.0028168960573327928,,,tiny_gpt_TinyStories,1.9373819557825724,0.004069010276574237,6.940613890086129,0.02820654210228223,,,,,,,
relu,1.9462423102060953,0.0018206540784068404,,,tiny_gpt_TinyStories,1.9514087653160095,0.004451278500227316,7.038666002984113,0.031291883906225705,,,,,,,
silu,1.9833541798591614,0.0034610712978267277,,,tiny_gpt_TinyStories,1.9869414456685384,0.004310551732835053,7.29326077899221,0.03146184409349992,,,,,,,
tuelu,1.9267842451731365,0.00390770880443485,0.3499647635000724,0.00680917935115155,tiny_gpt_TinyStories,1.9314269574483236,0.005457138845564282,6.89945100685402,0.037638300668416245,0.5,0.01214278362415455,0.0003048724551053352,0.7903645634651184,0.006000357854497859,0.6378924528757731,0.007110829516284655
uelu,1.9359372123082477,0.0037185104795453314,0.5062674595250024,0.004975752971823006,tiny_gpt_TinyStories,1.9403746604919434,0.0055201502407818395,6.961464659687345,0.038410530260272996,0.5,0.03535274465878804,0.00043716964362135917,,,0.4583797958162095,0.004541023690420831
uelu3,2.0187221352259317,0.005340268921406091,0.028123594654930962,0.0007514645271056371,tiny_gpt_TinyStories,2.0225440804163615,0.005068336047121563,7.55762463869932,0.038372329559569804,3.0,0.00025774240493774413,2.175892454679022e-05,,,0.9716186629401312,0.0007673159198787999
dgelu,3.276009163856506,0.007268979579087034,,,tiny_gpt_WikiText-2,3.2926925547917683,0.01620697668648895,26.918759051296842,0.43386478897603514,,,,,,,
gelu,3.2052101437250773,0.002666495073732287,,,tiny_gpt_WikiText-2,3.22187118212382,0.011734058425761695,25.0767181523529,0.2931330767058999,,,,,,,
relu,3.2231291945775347,0.00888969630852215,,,tiny_gpt_WikiText-2,3.2390182654062905,0.018462718866412917,25.512995590450814,0.4679283776193591,,,,,,,
silu,3.252687217394511,0.0045628198541865245,,,tiny_gpt_WikiText-2,3.2696036609013874,0.010597102686228306,26.302389393411897,0.2785527769809112,,,,,,,
tuelu,3.208171591758728,0.00730446747277075,0.27024999062220256,0.0015634045461936819,tiny_gpt_WikiText-2,3.224635203679403,0.016515554679576123,25.147818151495557,0.4132876691695709,0.5,0.011572416126728059,0.00017695401320535822,0.6393130421638489,0.0005188484666131225,0.7181775932510694,0.0015909507908416875
uelu,3.2109278631210327,0.007380810199772104,0.3386037836472193,0.0013314674578368624,tiny_gpt_WikiText-2,3.228131046295166,0.0175489017960555,25.236329118869662,0.44096693244773105,0.5,0.02125598589579264,0.00025020846899976863,,,0.640140230456988,0.0013708806185879358
uelu3,3.338145691553752,0.003509817346285986,0.004279188315073648,0.00037094621294697975,tiny_gpt_WikiText-2,3.355435331662496,0.011524799458659559,28.659977044771342,0.32939873725896596,3.0,0.0001374910275141398,2.9302941090038968e-05,,,0.9955833206574122,0.00035071471630412617
