activation,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,dynamic_gamma,trainable_beta,seconds
relu,1,1,4.132873700798882,0.08562222222222222,3.815325413131714,0.153,0.00029815325108927063,,,9.315338752000002
relu,1,2,3.609265611521403,0.1884,3.4773053939819336,0.2126,0.00029265847744427303,,,8.150197867000088
relu,1,3,3.31081716126336,0.2531777777777778,3.2349927730560304,0.2674,0.0002836509786282552,,,8.042532564999988
relu,1,4,3.1253567559983995,0.29417777777777776,3.050396893310547,0.314,0.0002713525491562421,,,8.130673179999917
relu,1,5,2.9728688592274986,0.3359111111111111,2.9980270378112794,0.3326,0.0002560660171779821,,,7.989586982999981
relu,1,6,2.8471769927978516,0.3668222222222222,2.8588166984558105,0.3624,0.000238167787843871,,,8.12731823699994
relu,1,7,2.7425546042548286,0.39568888888888887,2.7830997219085694,0.3902,0.00021809857496093204,,,9.15681121700004
relu,1,8,2.6496866612328422,0.4205111111111111,2.7080969032287596,0.4108,0.00019635254915624216,,,8.248011352000049
relu,1,9,2.5567864651997882,0.4446,2.678275916671753,0.4196,0.00017346516975603468,,,8.160790294000094
relu,1,10,2.4776662211524116,0.47113333333333335,2.6335286922454832,0.4296,0.00015000000000000001,,,8.116929443000004
relu,1,11,2.409240008163452,0.48535555555555554,2.583771856689453,0.4396,0.0001265348302439654,,,8.131201462999911
relu,1,12,2.344873909801907,0.5048888888888889,2.580384990310669,0.4482,0.0001036474508437579,,,8.356678659999943
relu,1,13,2.2824425988939074,0.5247555555555555,2.537138298034668,0.456,8.190142503906799e-05,,,8.18863007899995
relu,1,14,2.2329365017784966,0.5384222222222222,2.525672331237793,0.4702,6.183221215612905e-05,,,8.48548326499997
relu,1,15,2.184951131693522,0.5534,2.5128625482559204,0.4664,4.393398282201788e-05,,,8.169587343999979
relu,1,16,2.1450843690872192,0.5650888888888889,2.4950595432281495,0.4724,2.86474508437579e-05,,,8.644140624999977
relu,1,17,2.115266547139486,0.5754666666666667,2.48396888923645,0.475,1.6349021371744834e-05,,,8.296935161000079
relu,1,18,2.0891012298583984,0.5848,2.48241727104187,0.4764,7.341522555726972e-06,,,8.235868474999961
relu,1,19,2.076489239417182,0.5888444444444444,2.478743881225586,0.4808,1.8467489107293517e-06,,,8.208664128999999
relu,1,20,2.0692293026394313,0.5923333333333334,2.4788574460983277,0.478,0.0,,,8.357340755999985
silu,1,1,4.104438494576348,0.09182222222222222,3.7997280471801758,0.1526,0.00029815325108927063,,,8.291037714000026
silu,1,2,3.590858976236979,0.1942222222222222,3.440804514694214,0.2146,0.00029265847744427303,,,8.403824964000023
silu,1,3,3.298788211356269,0.25797777777777775,3.2355871326446533,0.2628,0.0002836509786282552,,,8.455930885000043
silu,1,4,3.116837122133043,0.29888888888888887,3.0551760074615477,0.3112,0.0002713525491562421,,,8.343842705000043
silu,1,5,2.9682786527845595,0.33697777777777776,2.963327989959717,0.3352,0.0002560660171779821,,,8.475880598000003
silu,1,6,2.8491833412594265,0.36833333333333335,2.8749590633392335,0.3584,0.000238167787843871,,,9.14800212900002
silu,1,7,2.748392574013604,0.39642222222222223,2.7915531311035156,0.3892,0.00021809857496093204,,,9.307376749000014
silu,1,8,2.655749301401774,0.41917777777777776,2.7217560997009276,0.4008,0.00019635254915624216,,,8.53588670900001
silu,1,9,2.568081703355577,0.4424,2.6670666889190673,0.4192,0.00017346516975603468,,,8.599619339000014
silu,1,10,2.4872907316843667,0.46715555555555555,2.639983321762085,0.4356,0.00015000000000000001,,,8.771074010999996
silu,1,11,2.423277484258016,0.48186666666666667,2.596279607391357,0.4398,0.0001265348302439654,,,9.41383981599995
silu,1,12,2.3566689351823595,0.5022444444444445,2.560208986854553,0.4536,0.0001036474508437579,,,9.431143753000015
