activation,seed,best_val_accuracy,best_epoch,test_loss,test_accuracy,total_seconds,closed_fraction,transition_fraction,open_fraction,trainable_beta
relu,1,0.4808,19,2.4339198806762696,0.4888,166.78600395500007,,,,
silu,1,0.482,20,2.4188089195251465,0.4916,175.6668885549999,,,,
gelu,1,0.4984,19,2.375464550971985,0.5036,173.792955463,,,,
dgelu,1,0.477,18,2.445994736480713,0.4853,389.35835563699993,,,,
uelu,1,0.496,18,2.369530534744263,0.5069,227.412250503,0.13438576289585658,0.8270726885114398,0.03854154859270368,
uelu3,1,0.4704,19,2.457934190750122,0.4825,229.51414151899985,0.0041988009498232885,0.9938583510262625,0.0019428480239141554,
tuelu,1,0.4978,19,2.3686623302459715,0.5093,269.2767556210001,0.10882061398218548,0.8638811429341634,0.027298243083651103,1.1310943365097046
relu,2,0.4784,20,2.4239917375564577,0.4909,171.72941404599987,,,,
silu,2,0.4892,17,2.410317893600464,0.4938,175.4369302539999,,,,
gelu,2,0.4942,17,2.3875717079162597,0.503,176.16845331199966,,,,
dgelu,2,0.4866,20,2.423228421974182,0.4926,390.7134036790003,,,,
uelu,2,0.4976,20,2.3777516357421873,0.5076,227.58202757900017,0.13575942781236436,0.8288392324296255,0.03540133975801014,
uelu3,2,0.4778,20,2.445605738067627,0.4816,227.22093837600005,0.005418866778176928,0.9926051260933043,0.0019760071285187253,
tuelu,2,0.4994,20,2.3770948101043703,0.5073,269.2060509130001,0.11266026875329396,0.8616749203394329,0.025664810907273065,1.1206796169281006
relu,3,0.4958,19,2.391993957519531,0.4975,179.5950901279998,,,,
silu,3,0.4998,19,2.388714661026001,0.5001,177.78753213299933,,,,
gelu,3,0.5132,20,2.3389876808166505,0.5196,179.76602395100053,,,,
dgelu,3,0.4966,19,2.4035872024536133,0.4975,390.2954292120003,,,,
uelu,3,0.5176,19,2.3432057292938233,0.5179,226.13072370100053,0.13214705936492435,0.8326550771319677,0.03519786350310795,
uelu3,3,0.486,19,2.424743381500244,0.493,227.04330552099964,0.005210028754340278,0.9935508758302719,0.0012390954153878348,
tuelu,3,0.5158,19,2.3404994316101075,0.5171,269.37362711100013,0.11302306311471122,0.8602979584345742,0.026678978450714597,1.104454755783081
