activation,seed,best_val_loss,best_iteration,final_train_loss,final_val_loss,final_val_perplexity,total_seconds,closed_fraction,transition_fraction,open_fraction,trainable_beta
gelu,1,3.2042696475982666,9500,2.823266248703003,3.228024468421936,25.229765507640817,1067.687804516012,,,,
relu,1,3.230138006210327,9500,2.837248706817627,3.2517220163345337,25.834789564328833,1069.2809496830014,,,,
silu,1,3.247369480133057,9500,2.929566206932068,3.2704222202301025,26.322450868608033,1071.5573264660052,,,,
dgelu,1,3.278383741378784,9500,2.9517226696014403,3.3020316314697267,27.167777803095216,1521.1228680040076,,,,
uelu,1,3.2201605653762817,9500,2.7970816230773927,3.2458835315704344,25.68439301029348,1197.0873996070004,0.3395508393645287,0.6394866183400154,0.02096254229545593,
tuelu,1,3.21725501537323,9500,2.790441575050354,3.24003408908844,25.53459218348647,1262.1915772700013,0.2708514079451561,0.717808935046196,0.011339657008647919,0.6400443911552429
uelu3,1,3.3358246803283693,9500,3.043890604972839,3.359335470199585,28.77006595921702,1198.630446340001,0.0038544312119483948,0.9959671184420585,0.000178450345993042,
gelu,2,3.208842968940735,9500,2.8161683797836305,3.232141261100769,25.3338453120646,1070.2076315800077,,,,
relu,2,3.228663454055786,9500,2.832012906074524,3.2524216175079346,25.852869937210205,1066.8701955480064,,,,
silu,2,3.258511562347412,9500,2.9265628242492676,3.2821537542343138,26.633072065082352,1074.5902295450069,,,,
dgelu,2,3.2834837532043455,9500,2.945219106674194,3.3061499404907226,27.279893813228448,1521.2752521920047,,,,
uelu,2,3.2105284357070922,9500,2.785529012680054,3.234274220466614,25.38793904405362,1195.6845469289983,0.33672081530094145,0.6420477211475373,0.0212314635515213,
tuelu,2,3.207890329360962,9500,2.776634464263916,3.232144346237183,25.33392347055384,1259.719979692003,0.268106709420681,0.7202840968966484,0.011609193682670594,0.6389988660812378
uelu3,2,3.3431059217453,9500,3.036714653968811,3.36719012260437,28.99693464793701,1196.5379410520109,0.004758189618587494,0.9951193451881408,0.00012246519327163696,
gelu,3,3.2025178146362303,9000,2.810989708900452,3.205447816848755,24.666543637353286,1071.1802169189905,,,,
relu,3,3.210586123466492,9000,2.8177236986160277,3.212911162376404,24.851327269813407,1068.6914967280027,,,,
silu,3,3.252180609703064,9000,2.9224782180786133,3.256235008239746,25.9516452465453,1073.313528423998,,,,
dgelu,3,3.266159996986389,9000,2.9349791383743287,3.269896092414856,26.308605537566862,1521.2853176460048,,,,
uelu,3,3.2020945882797243,9000,2.7815105438232424,3.20423538684845,24.63665530226188,1194.311895649007,0.3395396962761879,0.6388863518834114,0.021573951840400694,
tuelu,3,3.199369430541992,9000,2.774346318244934,3.2017271757125854,24.574938800446354,1260.1541829579946,0.2717918545007706,0.7164397478103638,0.011768397688865662,0.6388958692550659
uelu3,3,3.3355064725875856,9000,3.0368821907043455,3.339780402183533,28.212930527160005,1195.83490298799,0.004224944114685059,0.9956634983420372,0.00011155754327774048,
