activation,seed,best_val_loss,best_iteration,final_train_loss,final_val_loss,final_val_perplexity,total_seconds,closed_fraction,transition_fraction,open_fraction,trainable_beta
relu,1,1.5332339453697204,9500,1.312719192504883,1.5417735433578492,4.672870464551058,472.6855865590005,,,,
silu,1,1.593413646221161,9500,1.396288423538208,1.601773374080658,4.961823796609038,476.5828726159998,,,,
gelu,1,1.5414690494537353,8500,1.3431524205207825,1.5543131256103515,4.731835232235272,473.86489173300106,,,,
dgelu,1,1.5902715015411377,10000,1.3890352058410644,1.591644265651703,4.911818626799945,684.6006550959992,,,,
uelu,1,1.519092948436737,8500,1.2911849546432494,1.5324863862991334,4.629673680770505,531.0814038290009,0.21120747029781342,0.757959458231926,0.03083307147026062,
uelu3,1,1.6316316676139833,9500,1.4503122353553772,1.6402674627304077,5.156548512355486,531.6865037369971,0.0009132206439971923,0.9989997655153274,8.7013840675354e-05,
tuelu,1,1.5155011868476869,9500,1.2844678473472595,1.5233747792243957,4.587681511898818,566.5903328229979,0.2280477315187454,0.7358697772026062,0.036082491278648376,0.4599961042404175
relu,2,1.5248401308059691,8500,1.3179068064689636,1.526424925327301,4.60169597299549,473.66270443300164,,,,
silu,2,1.5912045693397523,10000,1.3947280550003052,1.5840939092636108,4.874872300139844,477.3051751239982,,,,
gelu,2,1.5490854954719544,8500,1.3493977212905883,1.5521280407905578,4.721507058976256,471.1898218299975,,,,
dgelu,2,1.5802341842651366,10000,1.3895797753334045,1.5726280188560486,4.8192967689300525,683.2380083110002,,,,
uelu,2,1.5060245180130005,8500,1.2909561133384704,1.5087019801139832,4.520858819519067,528.6414169169984,0.22024854719638826,0.749941599369049,0.02980985343456268,
uelu3,2,1.6434624147415162,10000,1.4473167324066163,1.6348044967651367,5.128455269417087,531.8745583240016,0.0012328624725341797,0.9987266689538956,4.046857357025147e-05,
tuelu,2,1.508469922542572,8500,1.291578996181488,1.5108447790145874,4.530556497203215,568.2170531480006,0.2366655707359314,0.7290785521268844,0.03425587713718414,0.46645739674568176
relu,3,1.5284874248504638,9500,1.315938699245453,1.5256936311721803,4.598332009800025,472.550427528,,,,
silu,3,1.5858585143089294,10000,1.3937755370140075,1.58151930809021,4.862337591058013,473.01778166700024,,,,
gelu,3,1.5340085434913635,9500,1.33633624792099,1.5309141159057618,4.622400301269219,473.4375619820021,,,,
dgelu,3,1.5837104606628418,10000,1.387791681289673,1.5805248713493347,4.857504707307782,687.1179361140021,,,,
uelu,3,1.5099030637741089,10000,1.2833879232406615,1.5052824211120606,4.505425878011994,531.3040487219987,0.21638861894607545,0.753011754155159,0.030599626898765563,
uelu3,3,1.6247378087043762,10000,1.4408639240264893,1.6210717868804931,5.058509055819208,534.980554867001,0.0012563318014144897,0.9986935764551162,5.009174346923828e-05,
tuelu,3,1.510449879169464,10000,1.2833104419708252,1.505984764099121,4.508591343772352,566.4191211340003,0.23469399511814118,0.7285022020339966,0.03680380284786224,0.455339640378952
