activation,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,dynamic_gamma,trainable_beta,seconds
relu,1,1,4.068517534383138,0.09715555555555555,3.8143793418884275,0.1352,0.00029815325108927063,,,17.616090026000165
relu,1,2,3.606838368564182,0.18577777777777776,3.4777214977264403,0.21,0.00029265847744427303,,,17.0400687880001
relu,1,3,3.341690635596381,0.24444444444444444,3.2667356498718263,0.2622,0.0002836509786282552,,,17.02799620300084
relu,1,4,3.1646743803660073,0.2856888888888889,3.175978903198242,0.284,0.0002713525491562421,,,17.05953351199969
relu,1,5,3.0229205660502116,0.3195777777777778,3.0475056816101076,0.3094,0.0002560660171779821,,,17.12813798099978
relu,1,6,2.9132899952782525,0.34775555555555554,2.967180838394165,0.3338,0.000238167787843871,,,17.041614710999966
relu,1,7,2.8072243105570474,0.3725777777777778,2.902763524246216,0.3528,0.00021809857496093204,,,17.04257276199951
relu,1,8,2.70480743399726,0.3986,2.8496756587982177,0.3682,0.00019635254915624216,,,17.071859462000248
relu,1,9,2.613890007273356,0.4291333333333333,2.7507632999420166,0.395,0.00017346516975603468,,,17.057796914999926
relu,1,10,2.5345001823425295,0.4463111111111111,2.7148366428375246,0.407,0.00015000000000000001,,,17.04022792899923
relu,1,11,2.4469361164516874,0.47117777777777775,2.6977549812316894,0.4096,0.0001265348302439654,,,17.062122524999722
relu,1,12,2.370058371649848,0.49444444444444446,2.6325645721435547,0.4352,0.0001036474508437579,,,17.051162355999622
relu,1,13,2.291465347713894,0.5193111111111111,2.5989436458587645,0.448,8.190142503906799e-05,,,17.03044196099927
relu,1,14,2.229504939566718,0.5393333333333333,2.562012099456787,0.455,6.183221215612905e-05,,,17.18608538799981
relu,1,15,2.1674864641825358,0.5555333333333333,2.5634087295532226,0.4498,4.393398282201788e-05,,,17.05819868799972
relu,1,16,2.1160352503882516,0.5730222222222222,2.547766283416748,0.4582,2.86474508437579e-05,,,17.027899073999833
relu,1,17,2.0768702060699464,0.5869333333333333,2.53256958694458,0.464,1.6349021371744834e-05,,,17.040952095999273
relu,1,18,2.042395332845052,0.5993777777777778,2.5296398242950437,0.464,7.341522555726972e-06,,,17.034235559999615
relu,1,19,2.0204020593431262,0.606,2.5214498302459716,0.464,1.8467489107293517e-06,,,17.07603662800011
relu,1,20,2.0049860569847953,0.6118444444444444,2.5198114135742187,0.4666,0.0,,,17.04044115800025
silu,1,1,4.063863342285156,0.09646666666666667,3.8059483589172363,0.1334,0.00029815325108927063,,,17.134562594000272
silu,1,2,3.6222668982611763,0.18237777777777778,3.4976537574768067,0.205,0.00029265847744427303,,,17.0966333690003
silu,1,3,3.3621848523457847,0.23908888888888888,3.3129249645233156,0.2506,0.0002836509786282552,,,17.141705324999748
silu,1,4,3.2081876235114204,0.27397777777777776,3.198691159057617,0.2802,0.0002713525491562421,,,17.097671562999494
silu,1,5,3.0752708347744413,0.307,3.1008597286224364,0.2946,0.0002560660171779821,,,17.115089844000067
silu,1,6,2.9710252207014296,0.3327111111111111,3.018193517303467,0.3164,0.000238167787843871,,,17.128230534000068
silu,1,7,2.8775506695217556,0.3556888888888889,2.944112460708618,0.3364,0.00021809857496093204,,,17.111471777000588
silu,1,8,2.781093216578166,0.3799777777777778,2.9136798686981202,0.3476,0.00019635254915624216,,,17.150188833000357
silu,1,9,2.70801195848253,0.4016,2.8172725551605224,0.369,0.00017346516975603468,,,17.134649652000007
silu,1,10,2.632773558383518,0.42106666666666664,2.7955735328674316,0.3826,0.00015000000000000001,,,17.143807396999364
silu,1,11,2.5572913381364613,0.44175555555555557,2.7598039279937745,0.393,0.0001265348302439654,,,17.122022761000153
silu,1,12,2.484407118903266,0.4623333333333333,2.6925021068572996,0.4068,0.0001036474508437579,,,17.121243455000695
silu,1,13,2.418240719519721,0.4822222222222222,2.65361178817749,0.4208,8.190142503906799e-05,,,17.140037860999655
silu,1,14,2.365507361094157,0.49862222222222224,2.627387401008606,0.4322,6.183221215612905e-05,,,17.115285206999943
silu,1,15,2.3090740844726563,0.5115333333333333,2.606098236465454,0.4398,4.393398282201788e-05,,,17.124193980999735
silu,1,16,2.2647612674713136,0.5275777777777778,2.5985357788085937,0.4358,2.86474508437579e-05,,,17.127916095999353
silu,1,17,2.229606436369154,0.5375111111111112,2.5821242416381835,0.4422,1.6349021371744834e-05,,,17.1185362920005
silu,1,18,2.196312681833903,0.5500222222222222,2.5758185077667237,0.4456,7.341522555726972e-06,,,17.122208640999816
silu,1,19,2.1856809885660806,0.5553777777777777,2.5721396072387694,0.4458,1.8467489107293517e-06,,,17.13777273300002
silu,1,20,2.1646043591393367,0.5598222222222222,2.5690775829315187,0.4476,0.0,,,17.12506767600007
gelu,1,1,4.056166694556342,0.09762222222222222,3.8049350551605223,0.1376,0.00029815325108927063,,,17.132773855999403
gelu,1,2,3.600529753282335,0.18624444444444443,3.4656945682525633,0.2132,0.00029265847744427303,,,17.175374520000332
gelu,1,3,3.3255597091674804,0.24675555555555556,3.258600414276123,0.2604,0.0002836509786282552,,,17.144582416999583
gelu,1,4,3.1554528496636283,0.28613333333333335,3.1783606101989745,0.2786,0.0002713525491562421,,,17.15786509099962
gelu,1,5,3.010652928500705,0.32182222222222223,3.073997626876831,0.3074,0.0002560660171779821,,,17.153521888000796
gelu,1,6,2.896228746032715,0.34855555555555556,2.9588152309417723,0.332,0.000238167787843871,,,17.127298403000168
gelu,1,7,2.7907146837446426,0.3768,2.87483002243042,0.3574,0.00021809857496093204,,,17.10702785600006
gelu,1,8,2.682331640073988,0.40475555555555554,2.8440914443969727,0.3662,0.00019635254915624216,,,17.15557317100047
gelu,1,9,2.5915492025587294,0.43191111111111113,2.744396593475342,0.3928,0.00017346516975603468,,,17.15521018399977
gelu,1,10,2.508458397293091,0.4531777777777778,2.717664739227295,0.4024,0.00015000000000000001,,,17.15857707000032
gelu,1,11,2.4173678627438013,0.47724444444444447,2.6742664270401,0.4144,0.0001265348302439654,,,17.125615263000327
gelu,1,12,2.3359473864237468,0.5055555555555555,2.6222928907394407,0.4328,0.0001036474508437579,,,17.157957874000203
gelu,1,13,2.255328797192044,0.5264444444444445,2.576865934753418,0.4418,8.190142503906799e-05,,,17.16034358500019
gelu,1,14,2.1949035340627034,0.5462222222222223,2.551033179283142,0.4564,6.183221215612905e-05,,,17.175203160999445
gelu,1,15,2.1305616522894963,0.5642666666666667,2.537465205192566,0.4568,4.393398282201788e-05,,,17.13973659200019
gelu,1,16,2.0761510382122466,0.5870666666666666,2.5233060276031494,0.4652,2.86474508437579e-05,,,17.181288617000064
gelu,1,17,2.0347404227362738,0.5989777777777778,2.51572652721405,0.4628,1.6349021371744834e-05,,,17.171474065999973
gelu,1,18,2.0016748741997614,0.6115333333333334,2.511089014053345,0.4632,7.341522555726972e-06,,,17.1577130630003
gelu,1,19,1.9835061859978569,0.6146666666666667,2.5048526821136474,0.4706,1.8467489107293517e-06,,,17.154018561000157
gelu,1,20,1.9650860910203722,0.6225111111111111,2.504009790420532,0.4718,0.0,,,17.13768294900001
dgelu,1,1,4.069297671169704,0.09604444444444445,3.8125335102081297,0.1368,0.00029815325108927063,1.0,,24.171303123999678
dgelu,1,2,3.6370103154500324,0.17964444444444444,3.5094377040863036,0.2032,0.00029265847744427303,0.9473684210526316,,24.129729137999675
dgelu,1,3,3.3879525252872043,0.23362222222222223,3.3412461433410643,0.2426,0.0002836509786282552,0.8947368421052632,,24.058394468000188
dgelu,1,4,3.2355266531202527,0.2684666666666667,3.222787070465088,0.2714,0.0002713525491562421,0.8421052631578947,,24.24205947000064
dgelu,1,5,3.1062929413689506,0.3002222222222222,3.1382296829223635,0.284,0.0002560660171779821,0.7894736842105263,,24.30388443999982
dgelu,1,6,3.0013874681260853,0.32626666666666665,3.0394266159057617,0.3126,0.000238167787843871,0.736842105263158,,24.303082129999893
dgelu,1,7,2.9095109978146025,0.34915555555555555,2.964366918563843,0.3328,0.00021809857496093204,0.6842105263157895,,24.08891269800006
dgelu,1,8,2.8170053553263346,0.373,2.947398998260498,0.3366,0.00019635254915624216,0.631578947368421,,24.179126099000314
dgelu,1,9,2.7429908752441405,0.39137777777777777,2.8560087913513184,0.366,0.00017346516975603468,0.5789473684210527,,24.191085825999835
dgelu,1,10,2.66855319158766,0.41024444444444447,2.8253339687347414,0.3728,0.00015000000000000001,0.5263157894736843,,24.26958387600007
dgelu,1,11,2.589957654401991,0.4338666666666667,2.7828043369293214,0.3828,0.0001265348302439654,0.4736842105263158,,24.19863798700044
dgelu,1,12,2.516170966084798,0.4545111111111111,2.7209413181304933,0.4034,0.0001036474508437579,0.42105263157894735,,24.369983233000312
dgelu,1,13,2.4495931756761338,0.47373333333333334,2.6750611919403076,0.4182,8.190142503906799e-05,0.368421052631579,,24.181154646000323
dgelu,1,14,2.3969808286878798,0.4891333333333333,2.648538592529297,0.4258,6.183221215612905e-05,0.3157894736842105,,24.039027818999784
dgelu,1,15,2.3335719710456,0.5049555555555556,2.6318824146270754,0.4308,4.393398282201788e-05,0.26315789473684215,,24.245074350999857
dgelu,1,16,2.2880601419236926,0.5217333333333334,2.6158851627349855,0.432,2.86474508437579e-05,0.21052631578947367,,23.971044838000125
dgelu,1,17,2.254050723690457,0.5308444444444445,2.597710298538208,0.4388,1.6349021371744834e-05,0.1578947368421053,,24.108977188999233
dgelu,1,18,2.2188624251471625,0.5448444444444445,2.595935189247131,0.4432,7.341522555726972e-06,0.10526315789473684,,24.200668440999834
dgelu,1,19,2.206322400071886,0.5482,2.589593339729309,0.446,1.8467489107293517e-06,0.052631578947368474,,24.11185249099981
dgelu,1,20,2.1873591218736435,0.5526,2.588921934890747,0.4454,0.0,0.0,,24.000695835000442
uelu,1,1,4.049108358383179,0.1019111111111111,3.7890516456604004,0.1402,0.00029815325108927063,,,18.914769070000148
uelu,1,2,3.575104255633884,0.19215555555555555,3.4467478942871095,0.221,0.00029265847744427303,,,18.89610017799987
uelu,1,3,3.2952189745585123,0.25324444444444444,3.2311306213378908,0.2708,0.0002836509786282552,,,18.9171615260002
uelu,1,4,3.117488947041829,0.2942666666666667,3.1178107902526855,0.2948,0.0002713525491562421,,,18.995254066999223
uelu,1,5,2.962929123179118,0.3328888888888889,3.016904389953613,0.3182,0.0002560660171779821,,,18.91594805100067
uelu,1,6,2.8379631630791557,0.3647111111111111,2.923850623703003,0.3392,0.000238167787843871,,,18.951283521999358
uelu,1,7,2.7175097210354275,0.39697777777777776,2.8144354522705077,0.3646,0.00021809857496093204,,,18.942515916000048
uelu,1,8,2.6057299338446724,0.4264,2.7667015449523924,0.3894,0.00019635254915624216,,,18.976193710999723
uelu,1,9,2.5058560986412894,0.4556,2.674064079284668,0.411,0.00017346516975603468,,,18.848095392999312
uelu,1,10,2.410389050547282,0.481,2.634180529022217,0.4268,0.00015000000000000001,,,18.939193707999948
uelu,1,11,2.314319982571072,0.5112444444444444,2.6040413013458252,0.4308,0.0001265348302439654,,,18.906785836999916
uelu,1,12,2.2201686898125543,0.5383333333333333,2.5525780559539797,0.4524,0.0001036474508437579,,,18.896402989000308
uelu,1,13,2.140073101255629,0.5640222222222222,2.521783915138245,0.4644,8.190142503906799e-05,,,18.907856240999536
uelu,1,14,2.069374797821045,0.585,2.508231102371216,0.4666,6.183221215612905e-05,,,18.94617552300042
uelu,1,15,2.006238043891059,0.6087111111111111,2.4969552726745605,0.4688,4.393398282201788e-05,,,18.9138358780001
uelu,1,16,1.947335325050354,0.6273111111111112,2.4919817207336425,0.4746,2.86474508437579e-05,,,18.935745757000404
uelu,1,17,1.9011878277672662,0.646,2.484153240776062,0.4772,1.6349021371744834e-05,,,18.915574215999186
uelu,1,18,1.8642779433780245,0.6571777777777777,2.477570502090454,0.482,7.341522555726972e-06,,,18.879679700999986
uelu,1,19,1.8436439533657498,0.6646888888888889,2.4725902822494508,0.4852,1.8467489107293517e-06,,,18.898132123999858
uelu,1,20,1.827657688691881,0.6702222222222223,2.471766016769409,0.4854,0.0,,,18.95813780300068
uelu3,1,1,4.069235942967733,0.09622222222222222,3.8134827098846436,0.1352,0.00029815325108927063,,,18.882811487000254
uelu3,1,2,3.6359120726267498,0.18022222222222223,3.5090000190734862,0.2012,0.00029265847744427303,,,18.909949457999573
uelu3,1,3,3.385148146057129,0.2336,3.3344268371582033,0.2438,0.0002836509786282552,,,18.840032043000065
uelu3,1,4,3.2320819498697917,0.26842222222222223,3.217469781112671,0.2706,0.0002713525491562421,,,18.965159983000376
uelu3,1,5,3.1033038089752196,0.30064444444444444,3.133229655456543,0.2856,0.0002560660171779821,,,18.920699373999923
uelu3,1,6,2.9985216878255208,0.3268888888888889,3.0364750129699707,0.3146,0.000238167787843871,,,18.92557795799985
uelu3,1,7,2.909182331254747,0.3491111111111111,2.9680462970733643,0.3306,0.00021809857496093204,,,18.89762266300022
uelu3,1,8,2.820843916998969,0.3705777777777778,2.940167172622681,0.3404,0.00019635254915624216,,,18.96028772000045
uelu3,1,9,2.7501179698520235,0.3895777777777778,2.855478523635864,0.3644,0.00017346516975603468,,,18.920934804999888
uelu3,1,10,2.679542869398329,0.4088888888888889,2.8335976760864257,0.3796,0.00015000000000000001,,,18.911574682999344
uelu3,1,11,2.6071053657531738,0.42833333333333334,2.7926049087524416,0.3826,0.0001265348302439654,,,18.917602965000697
uelu3,1,12,2.5399446563720702,0.44806666666666667,2.7305111949920655,0.3982,0.0001036474508437579,,,18.885732791999544
uelu3,1,13,2.4802341250949436,0.4636,2.6886088037490845,0.4158,8.190142503906799e-05,,,18.938719939999828
uelu3,1,14,2.432610538313124,0.4770888888888889,2.662246787261963,0.4224,6.183221215612905e-05,,,18.94250207499954
uelu3,1,15,2.375424126349555,0.4921333333333333,2.646772773361206,0.428,4.393398282201788e-05,,,18.92760051299956
uelu3,1,16,2.333446460893419,0.5109111111111111,2.6332675552368165,0.4346,2.86474508437579e-05,,,18.93427137300023
uelu3,1,17,2.3039928089989554,0.5165111111111111,2.6157471103668213,0.4358,1.6349021371744834e-05,,,18.94296717099951
uelu3,1,18,2.2716222178141274,0.5279555555555555,2.6114920490264892,0.4406,7.341522555726972e-06,,,18.908459344999756
uelu3,1,19,2.2615270256466338,0.5320444444444444,2.605614263916016,0.4422,1.8467489107293517e-06,,,18.89525014500032
uelu3,1,20,2.2441400546603734,0.5341333333333333,2.6031775039672853,0.4466,0.0,,,18.985070339999766
tuelu,1,1,4.049085495842828,0.10186666666666666,3.789247591781616,0.1396,0.00029815325108927063,,1.0017634630203247,20.253666074999273
tuelu,1,2,3.5754456793043348,0.192,3.4481551204681398,0.2196,0.00029265847744427303,,1.0059360265731812,20.280704980000337
tuelu,1,3,3.2954956835428875,0.25364444444444445,3.232354763031006,0.271,0.0002836509786282552,,1.0090891122817993,20.23792265300017
tuelu,1,4,3.117687710147434,0.29475555555555555,3.1170971347808836,0.2958,0.0002713525491562421,,1.0128090381622314,20.27446381699974
tuelu,1,5,2.9624640157911513,0.33244444444444443,3.017173630523682,0.3198,0.0002560660171779821,,1.015569806098938,20.25675301499996
tuelu,1,6,2.837818450037638,0.3648222222222222,2.921147858428955,0.3388,0.000238167787843871,,1.017939567565918,20.27823564299979
