activation,seed,best_val_accuracy,best_epoch,test_loss,test_accuracy,total_seconds,closed_fraction,transition_fraction,open_fraction,trainable_beta
relu,1,0.4666,20,2.456598310661316,0.4858,342.1364185119992,,,,
silu,1,0.4476,20,2.508170147705078,0.4714,342.9715327260001,,,,
gelu,1,0.4718,20,2.4458525104522706,0.4903,343.4664185339998,,,,
dgelu,1,0.446,19,2.523750952911377,0.4643,483.8428116649993,,,,
uelu,1,0.4854,20,2.422994064331055,0.4974,378.94884247699974,0.16597718067658254,0.7921894979884482,0.04183332133496928,
uelu3,1,0.4466,20,2.5409942905426024,0.4567,378.8991679109995,0.0025375705295138887,0.9967923182300014,0.0006701112404847757,
tuelu,1,0.4834,20,2.4222711854934693,0.4981,405.5747243720007,0.16138860718816775,0.7986287591396234,0.03998263367220887,1.0167462825775146
relu,2,0.473,20,2.4423679218292236,0.4833,342.0529583940006,,,,
silu,2,0.4604,19,2.4868997802734376,0.4687,343.09888586499983,,,,
gelu,2,0.481,19,2.416868888473511,0.4954,343.3284208620007,,,,
dgelu,2,0.453,20,2.508411255645752,0.4647,484.00103581000076,,,,
uelu,2,0.4822,17,2.4099493267059326,0.4991,379.1824046539987,0.16072425516242655,0.7952919619307559,0.04398378290681757,
uelu3,2,0.4494,20,2.5320308032989503,0.4572,379.1041762700006,0.0019956461588541666,0.9973910600711138,0.0006132937700320512,
tuelu,2,0.4834,20,2.4025696701049806,0.4973,405.5246879690003,0.15760332938952323,0.7994014459593684,0.042995224651108443,1.0099748373031616
relu,3,0.468,19,2.4558436431884765,0.4829,342.4765483529991,,,,
silu,3,0.4422,20,2.515360550689697,0.4618,343.24600249300056,,,,
gelu,3,0.4692,19,2.463116635513306,0.4787,343.4093665149994,,,,
dgelu,3,0.441,20,2.5316862041473387,0.4581,483.4681321299995,,,,
uelu,3,0.4814,20,2.426252222442627,0.494,379.15454464899994,0.1540970239883814,0.7990904953133346,0.04681248069828392,
uelu3,3,0.4328,20,2.543989948272705,0.4527,379.3714463369997,0.0022802447457598825,0.9970340904822717,0.000685664771968483,
tuelu,3,0.4772,20,2.4256081073760987,0.493,405.6612457850006,0.15180857862162794,0.8025728561531784,0.04561856522519364,1.0098168849945068
